Course,Credits,CountedGrades,Type,,
SPTH 290,0,"A+,A,A-,B+,B,B-,C+,C,C-,P,P*,WP,T",Required,FALL-2016,FALL-2023
SPTH 290,0,"A+,A,A-,B+,B,B-,C+,C,P,P*,WP,T",Required,SPRING-2023,SPRING-2024
SPTH 291,0,"A+,A,A-,B+,B,B-,C+,C,C-,P,P*,WP,T",Required,FALL-2016,FALL-2023
SPTH 291,0,"A+,A,A-,B+,B,B-,C+,C,P,P*,WP,T",Required,SPRING-2023,SPRING-2024
SPTH 292,0,"A+,A,A-,B+,B,B-,C+,C,C-,P,P*,WP,T",Required,FALL-2016,FALL-2023
SPTH 292,0,"A+,A,A-,B+,B,B-,C+,C,P,P*,WP,T",Required,SPRING-2023,SPRING-2024
SPTH 293A,0,"A+,A,A-,B+,B,B-,C+,C,C-,P,P*,WP,T",Required,FALL-2016,FALL-2023
SPTH 293A,0,"A+,A,A-,B+,B,B-,C+,C,P,P*,WP,T",Required,SPRING-2023,SPRING-2024
SPTH 293B,0,"A+,A,A-,B+,B,B-,C+,C,C-,P,P*,WP,T",Required,FALL-2016,FALL-2023
SPTH 293B,0,"A+,A,A-,B+,B,B-,C+,C,P,P*,WP,T",Required,SPRING-2023,SPRING-2024
SPTH 294A,0,"A+,A,A-,B+,B,B-,C+,C,C-,P,P*,WP,T",Required,FALL-2016,FALL-2023
SPTH 294A,0,"A+,A,A-,B+,B,B-,C+,C,P,P*,WP,T",Required,SPRING-2023,SPRING-2024
SPTH 294B,0,"A+,A,A-,B+,B,B-,C+,C,C-,P,P*,WP,T",Required,FALL-2016,FALL-2023
SPTH 294B,0,"A+,A,A-,B+,B,B-,C+,C,P,P*,WP,T",Required,SPRING-2023,SPRING-2024
SPTH 296A,0,"A+,A,A-,B+,B,B-,C+,C,C-,P,P*,WP,T",Required,FALL-2016,FALL-2023
SPTH 296A,0,"A+,A,A-,B+,B,B-,C+,C,P,P*,WP,T",Required,SPRING-2023,SPRING-2024
SPTH 296B,0,"A+,A,A-,B+,B,B-,C+,C,C-,P,P*,WP,T",Required,FALL-2016,FALL-2023
SPTH 296B,0,"A+,A,A-,B+,B,B-,C+,C,P,P*,WP,T",Required,SPRING-2023,SPRING-2024
SPTH 297A,0,"A+,A,A-,B+,B,B-,C+,C,C-,P,P*,WP,T",Required,FALL-2016,FALL-2023
SPTH 297A,0,"A+,A,A-,B+,B,B-,C+,C,P,P*,WP,T",Required,SPRING-2023,SPRING-2024
