student_id,assignment_type,course
201801793,S.C.E.,CMPS200
202002453,S.C.E.,TRFE200
201901409,S.C.E.,INEG300SC
202201700,S.C.E.,INEG200SC
201801669,F.E.C.,COMM102
201801971,S.C.E.,COMM102
201801971,F.E.C.,POLS101
